sugu,vanus,lapsed,emaharidus,isaharidus,kaaslane,staatus3,tervis,haridus,haridustase,sissetulek,meeldib_oppida,literacy,numeracy,psolvskills,hvaldkond,kaalud
Naine,38,Jah,Põhi,Põhi,Jah,Hõivatud,Väga hea,Kesk,Keskmine,644.4749,Mõningal määral,192.4801,186.5487,206.9257,Sots,81.23879
Mees,19,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Mõningal määral,309.8111,302.9233,313.8267,Üld,106.7934
Naine,41,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Põhi,Madal,420.7479,Mõningal määral,208.3741,237.7483,241.6392,Teen,95.93289
Mees,56,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Halb,Põhi,Madal,NA,Üldse mitte,226.2762,187.1554,NA,Üld,97.23598
Mees,52,Jah,Põhi,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,NA,Suurel määral,233.2084,238.4709,239.8837,Üld,86.34005
Mees,49,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,486.5391,Suurel määral,296.0503,284.3417,267.7249,Põ,95.58782
Mees,59,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Kesk,Keskmine,473.3809,Suurel määral,181.09,201.2165,NA,TehTo,141.0944
Mees,61,Jah,Põhi,Kõrg,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,295.7446,Üldse mitte,252.5544,259.0101,NA,Üld,121.2352
Mees,16,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Suurel määral,321.7714,279.8708,296.9085,Üld,92.57301
Naine,32,Ei,Kõrg,Kesk,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,270.3908,307.2064,288.8229,Sots,129.527
Mees,56,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Väga vähe,248.2715,264.3091,218.1845,Üld,88.95124
Mees,47,Jah,Põhi,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,1144.451,Mõningal määral,282.0635,331.5422,269.1722,TehTo,129.6345
Naine,53,Jah,Kesk,Kõrg,Ei,Hõivatud,Suurepärane,Rakenduskõrg,Kõrge,NA,Suurel määral,255.453,227.1567,221.7882,Terv,114.2591
Naine,25,Ei,Kõrg,Kõrg,NA,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,281.1902,240.0548,277.5484,Hum,118.7607
Mees,42,Jah,Põhi,Kesk,Ei,Hõivatud,Suurepärane,Kesk,Keskmine,920,Suurel määral,199.1907,244.3959,238.4939,Üld,156.5239
Naine,37,Jah,Kesk,Põhi,Jah,Töötu,Hea,Rakenduskõrg,Kõrge,NA,Suurel määral,282.8386,292.5257,282.6458,Täp,98.56718
Mees,37,Ei,Kõrg,Kesk,Ei,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Suurel määral,132.9373,127.3271,NA,Üld,87.26852
Mees,34,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Kesk-järgne kutse,Keskmine,1276.034,Suurel määral,310.1386,275.6799,NA,TehTo,102.6844
Naine,30,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,1028.659,Suurel määral,324.0292,322.4958,329.2513,Hum,129.527
Mees,60,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,1078.66,Suurel määral,295.5084,278.9543,255.6391,Üld,121.2352
Naine,59,Jah,Põhi,Põhi,Ei,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,NA,Mõningal määral,329.7889,319.9849,NA,TehTo,75.07187
Mees,61,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Põhi,Madal,1100,Suurel määral,239.0255,271.8251,NA,Üld,95.19613
Mees,20,Ei,Kesk,Kesk,Ei,Hõivatud,Väga hea,Kesk,Keskmine,486.5391,Mõningal määral,248.3142,290.93,258.7635,Üld,93.33152
Naine,35,Jah,NA,NA,Jah,Hõivatud,Rahuldav,Põhi,Madal,NA,Mõningal määral,262.2292,238.1907,NA,Üld,91.59921
Mees,63,Jah,Kesk,Kesk,Jah,Mitteaktiivne,Hea,Rakenduskõrg,Kõrge,NA,Suurel määral,313.1383,334.9108,314.2748,Sots,121.2352
Mees,17,Ei,NA,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Mõningal määral,253.213,191.2463,238.1648,Üld,105.2251
Mees,41,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Kesk,Keskmine,789.1786,Mõningal määral,293.9958,289.8324,258.6433,Teen,182.6213
Naine,36,Jah,Kesk,Põhi,Jah,Hõivatud,Suurepärane,Kesk,Keskmine,1012.869,Mõningal määral,280.9797,279.8548,246.6866,Üld,92.95641
Mees,34,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,1670.781,Suurel määral,238.292,284.1256,292.463,Sots,187.1757
